procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
65  0      0 151194816  49480 4971904    0    0     0     0 12443 11391  2  0 97  0  0
292  0      0 151190416  49480 4971904    0    0     0     0 12215 11707  2  0 97  0  0
22  0      0 151184960  49488 4971896    0    0     0    64 11759 11672  2  0 98  0  0
12  0      0 151177568  49488 4971896    0    0     0     0 12886 12496  2  0 98  0  0
39  0      0 151170672  49488 4971896    0    0     0     0 13324 12843  2  0 97  0  0
17  0      0 151166496  49488 4971896    0    0     0     0 13150 12921  2  0 98  0  0
28  0      0 151155680  49488 4975656    0    0     0     0 13393 12664  2  0 98  0  0
11  0      0 151144080  49488 4977160    0    0     0     0 12789 12871  2  0 98  0  0
55  0      0 151104768  49488 4977160    0    0     0     0 13212 12506  2  0 97  0  0
122  0      0 151079696  49488 4977160    0    0     0     0 12437 12046  2  0 98  0  0
10  0      0 151077520  49488 4977160    0    0     0     0 12915 12022  3  0 97  0  0
19  0      0 151072544  49488 4977160    0    0     0     0 12646 12124  2  0 98  0  0
15  0      0 151070560  49488 4977160    0    0     0     0 12695 12385  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
29  0      0 151068080  49488 4977352    0    0     0     0 14255 13274  2  0 97  0  0
 7  0      0 151067712  49488 4977452    0    0     0     0 12553 12465  2  0 98  0  0
21  0      0 151068432  49488 4977552    0    0     0     0 13066 11988  2  0 97  0  0
100  0      0 151070464  49488 4977696    0    0     0     0 12533 11625  2  0 98  0  0
20  0      0 151070272  49488 4977596    0    0     0    28 13013 11965  2  0 97  0  0
22  0      0 151065664  49496 4977532    0    0     0    56 13113 13021  2  0 97  0  0
15  0      0 151065664  49496 4977532    0    0     0     0 13158 12226  2  0 97  0  0
125  0      0 151065120  49496 4977532    0    0     0     0 12432 11437  2  0 97  0  0
10  0      0 151064592  49496 4977532    0    0     0     0 12699 11963  2  0 98  0  0
 9  0      0 151063552  49496 4977532    0    0     0     0 14280 12376  2  0 97  0  0
19  0      0 151062416  49496 4977532    0    0     0     0 11478 10678  2  0 98  0  0
24  0      0 151061408  49496 4978352    0    0     0     0 13954 12671  2  0 97  0  0
53  0      0 151060448  49496 4978460    0    0     0     0 11701 10808  2  0 97  0  0
15  0      0 151060256  49496 4978820    0    0     0     0 11853 11442  2  0 98  0  0
10  0      0 151060368  49496 4978812    0    0     0     0 14209 12319  2  0 97  0  0
13  0      0 151057664  49496 4978812    0    0     0     0 11890 11425  2  0 97  0  0
34  0      0 151057664  49504 4978808    0    0     0    40 13021 11663  2  0 97  0  0
13  0      0 151057840  49504 4979560    0    0     0     0 12140 11736  2  0 97  0  0
18  0      0 151056832  49504 4979208    0    0     0     0 13987 13421  2  0 97  0  0
63  0      0 151054048  49504 4979488    0    0     0     0 13490 11883  2  0 97  0  0
34  0      0 151052816  49504 4979492    0    0     0     0 15953 12982  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
163  0      0 151052144  49504 4979576    0    0     0     0 12609 11751  2  0 97  0  0
507  0      0 151052192  49504 4979628    0    0     0     0 12179 11119  2  0 97  0  0
18  0      0 151053312  49504 4979704    0    0     0     0 12821 12880  2  0 97  0  0
138  0      0 151053344  49512 4979696    0    0     0    72 13502 12358  2  0 98  0  0
83  0      0 151051248  49512 4979696    0    0     0     0 13339 11787  2  0 97  0  0
97  0      0 151050816  49512 4979696    0    0     0     0 12837 12699  2  0 97  0  0
106  0      0 151050816  49512 4979696    0    0     0     0 12405 11517  3  0 97  0  0
13  0      0 151049120  49512 4980364    0    0     0     0 13902 12653  2  0 97  0  0
111  0      0 151050496  49512 4980396    0    0     0     0 13880 11731  2  0 97  0  0
15  0      0 151050272  49512 4980632    0    0     0     0 12534 12737  2  0 98  0  0
35  0      0 151050272  49512 4980632    0    0     0     0 12245 11942  2  0 98  0  0
24  0      0 151050272  49512 4980632    0    0     0     0 11884 11480  2  0 98  0  0
 7  0      0 151050272  49512 4980632    0    0     0     0 11559 11213  2  0 97  0  0
40  0      0 151050496  49520 4980848    0    0     0    68 13208 12584  2  0 97  0  0
64  0      0 151049120  49520 4980988    0    0     0     0 13953 13060  2  0 97  0  0
31  0      0 151049120  49520 4980988    0    0     0     0 12789 12099  2  0 98  0  0
96  0      0 151049120  49520 4980988    0    0     0     0 13763 12401  2  0 97  0  0
17  0      0 151048912  49520 4980764    0    0     0     0 13895 13079  2  0 97  0  0
17  0      0 151048400  49528 4980764    0    0     0    64 13111 12556  2  0 97  0  0
10  0      0 151047856  49528 4980772    0    0     0     0 12098 11512  2  0 98  0  0
13  0      0 151047504  49528 4981156    0    0     0     0 12902 11914  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
254  0      0 151047504  49528 4981156    0    0     0     0 12613 11377  2  0 98  0  0
176  0      0 151047008  49528 4981160    0    0     0     0 13977 12643  2  0 97  0  0
36  0      0 151044992  49536 4981160    0    0     0    12 12258 11401  2  0 98  0  0
52  0      0 151043888  49536 4981160    0    0     0     0 11254 11004  2  0 97  0  0
47  0      0 151043888  49536 4981160    0    0     0     0 11129 10605  2  0 97  0  0
15  0      0 151043888  49536 4981160    0    0     0     0 12609 12009  2  0 98  0  0
121  0      0 151043888  49536 4981160    0    0     0     0 12862 11307  2  0 97  0  0
12  0      0 151043056  49536 4981160    0    0     0    12 14599 12166  2  0 97  0  0
222  0      0 151043552  49536 4981912    0    0     0     0 12288 11678  2  0 97  0  0
14  0      0 151043552  49536 4981912    0    0     0     0 13540 12174  2  0 97  0  0
14  0      0 151043552  49536 4981912    0    0     0     0 11673 10972  2  0 97  0  0
28  0      0 151043552  49536 4982664    0    0     0     0 11684 10834  2  0 98  0  0
62  0      0 151041888  49544 4982656    0    0     0    28 12489 11681  2  0 97  0  0
