procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0      0 142534144  67576 5663576    0    0     0     0 14210 16684  2  0 97  0  0
17  0      0 142531968  67584 5663568    0    0     0    48 13629 16081  2  0 97  0  0
26  0      0 142531968  67584 5663568    0    0     0     0 13274 16447  2  0 98  0  0
31  0      0 142531968  67584 5663568    0    0     0     0 13161 16707  2  0 97  0  0
34  0      0 142531968  67584 5663568    0    0     0     0 13539 17318  3  0 97  0  0
30  0      0 142531968  67584 5663568    0    0     0    48 13022 17220  2  0 97  0  0
29  0      0 142531968  67584 5663568    0    0     0     0 12595 17338  2  0 98  0  0
40  0      0 142529328  67584 5663568    0    0     0     0 12717 17370  2  0 97  0  0
39  0      0 142529328  67584 5663568    0    0     0     0 12885 17395  2  0 98  0  0
37  0      0 142529328  67584 5663568    0    0     0     0 12990 16908  2  0 98  0  0
37  0      0 142529328  67584 5663568    0    0     0     0 12933 17064  2  0 97  0  0
36  0      0 142527616  67584 5663648    0    0     0     0 12937 17162  2  0 98  0  0
25  0      0 142527616  67584 5663648    0    0     0     0 13451 17771  2  0 97  0  0
31  0      0 142527744  67584 5663648    0    0     0     0 13305 16975  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0      0 142527744  67584 5663648    0    0     0     0 13417 16531  2  0 98  0  0
25  0      0 142527744  67584 5663648    0    0     0    20 13577 16903  2  0 97  0  0
25  0      0 142527776  67584 5663648    0    0     0     0 13529 16995  2  0 98  0  0
14  0      0 142523488  67584 5663648    0    0     0     0 13654 16020  2  0 97  0  0
22  0      0 142520320  67584 5663500    0    0     0     0 15502 15939  2  0 97  0  0
30  0      0 142520288  67584 5663500    0    0     0     0 14017 15001  2  0 97  0  0
18  0      0 142516032  67592 5663524    0    0     0    60 13991 14732  2  0 98  0  0
16  0      0 142511808  67592 5663524    0    0     0     0 13843 14739  2  0 98  0  0
19  0      0 142508192  67592 5663520    0    0     0     0 14569 14503  2  0 97  0  0
14  0      0 142506016  67592 5663520    0    0     0     0 13955 14092  2  0 98  0  0
13  0      0 142499744  67592 5663520    0    0     0     0 13938 14004  2  0 98  0  0
13  0      0 142497696  67592 5663520    0    0     0     0 13929 14287  2  0 97  0  0
25  0      0 142497280  67592 5663620    0    0     0     0 14753 14712  2  0 97  0  0
49  0      0 142493504  67600 5663612    0    0     0    40 13971 14715  2  0 97  0  0
72  0      0 142493248  67600 5663392    0    0     0     0 14691 14953  2  0 97  0  0
82  0      0 142490624  67600 5663472    0    0     0     0 14628 14951  2  0 97  0  0
107  0      0 142489696  67600 5663276    0    0     0    20 14665 14773  2  0 97  0  0
118  0      0 142488144  67600 5663276    0    0     0     0 14094 14792  2  0 98  0  0
118  0      0 142488496  67600 5663276    0    0     0     0 13971 14135  2  0 98  0  0
127  0      0 142484240  67608 5663268    0    0     0    44 14245 14236  2  0 97  0  0
111  0      0 142486592  67608 5663280    0    0     0     0 15657 14761  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
98  0      0 142484544  67608 5663280    0    0     0     0 14212 14248  2  0 97  0  0
90  0      0 142483040  67608 5663280    0    0     0     0 14026 14090  2  0 97  0  0
85  0      0 142480784  67608 5663280    0    0     0     0 14084 14101  2  0 98  0  0
80  0      0 142478736  67608 5663280    0    0     0     0 13804 14532  2  0 97  0  0
98  0      0 142478736  67616 5663272    0    0     0    40 13857 14772  2  0 97  0  0
104  0      0 142476656  67616 5663280    0    0     0     0 13682 14979  2  0 97  0  0
101  0      0 142474608  67616 5663280    0    0     0     0 13627 15188  2  0 97  0  0
100  0      0 142472464  67616 5663280    0    0     0     0 13541 14961  2  0 98  0  0
97  0      0 142472416  67616 5663280    0    0     0     0 14155 15263  2  0 97  0  0
92  0      0 142472416  67616 5663280    0    0     0     0 13465 15639  2  0 98  0  0
91  0      0 142472448  67616 5663280    0    0     0     0 13306 15461  2  0 97  0  0
88  0      0 142470400  67616 5663280    0    0     0     0 13194 15604  2  0 98  0  0
86  0      0 142468288  67616 5663280    0    0     0     0 13155 16040  2  0 98  0  0
84  0      0 142468288  67620 5663276    0    0     0    40 13109 16328  2  0 98  0  0
